,Business title,zip,AM early,AM peak,Mid-day,PM peak,PM late,Type of Place,lat,lon,Total Score
2600,cups coffee co,92037,7,28,25,35,25,Food & Drinks,32.8905271,-117.24305090000001,119
2601,whiskey girl / the whiskey girl,92101-6918,7,28,25,35,25,Food & Drinks,32.71277,-117.160448,119
2602,alibi,92103-3404,27,6,3,27,30,Only Drinks,32.748217600000004,-117.15104469999999,93
2603,onyx room,92101-6108,27,6,3,27,30,Only Drinks,32.7143351,-117.16043629999999,93
2604,domino's pizza,92117-2789,27,6,3,27,30,Only Drinks,32.715738,-117.1610838,93
2605,susana hernandez,92108-4004,27,6,3,27,30,Only Drinks,32.777631199999995,-117.1154963,93
2606,fortune cookie express,92111-2711,7,28,25,35,25,Food & Drinks,32.8189913,-117.17711820000001,119
2607,nico's mex food,92107-3113,7,28,25,35,25,Food & Drinks,32.7462187,-117.24958070000001,119
2608,incredible cafe,92128-1910,7,28,25,35,25,Food & Drinks,33.0238851,-117.07574050000001,119
2609,elena's mexican food,92121,7,28,25,35,25,Food & Drinks,32.9019353,-117.22558149999999,119
2610,bravos taco shop,92105-2805,7,28,25,35,25,Food & Drinks,32.7477151,-117.0920443,119
2611,greystone the steakhouse,92101-6916,27,6,3,27,30,Only Drinks,32.712284499999996,-117.1603808,93
2612,bennys mexican food,92102-2304,7,28,25,35,25,Food & Drinks,32.718757399999994,-117.12980549999999,119
2613,honey bee hive,92101-5750,7,28,25,35,25,Food & Drinks,32.7166974,-117.1516845,119
2614,rhythm lounge,92110-4501,27,6,3,27,30,Only Drinks,32.750439899999996,-117.2069196,93
2615,blonde,92103-3734,27,6,3,27,30,Only Drinks,32.7433338,-117.1816435,93
2616,grupo saguaro's corportation,92104-3631,7,28,25,35,25,Food & Drinks,32.7464515,-117.1298592,119
2617,burger king #11668,92121-2607,27,6,3,27,30,Only Drinks,32.8789178,-117.16600600000001,93
2618,el sabroso taco shop,92110-3201,7,28,25,35,25,Food & Drinks,32.745363,-117.1998483,119
2619,jp's pub,92124-1320,27,6,3,27,30,Only Drinks,32.8302762,-117.1046058,93
2620,subway #3473,92117-4936,27,6,3,27,30,Only Drinks,32.8215613,-117.18363259999998,93
2621,super sergios mexican food,92111,7,28,25,35,25,Food & Drinks,32.817671999999995,-117.15442350000001,119
2622,lips,92104-1316,27,6,3,27,30,Only Drinks,32.755722,-117.129236,93
2623,mapo jumuluck restaurant,92111-2329,7,28,25,35,25,Food & Drinks,32.8253794,-117.15443429999999,119
2624,cotijas cocina mexicana,92107-1607,27,6,3,27,30,Only Drinks,32.7412836,-117.22938470000001,93
2625,gourmet island,92123-6392,7,28,25,35,25,Food & Drinks,32.836768199999995,-117.12610320000002,119
2626,cheesecake factory of san diego the,92108-1129,27,6,3,27,30,Only Drinks,32.7692001,-117.16543970000001,93
2627,andiamo,92124-1197,27,6,3,27,30,Only Drinks,32.8393632,-117.0986716,93
2628,the butcher shop restaurant,92123,27,6,3,27,30,Only Drinks,32.8300103,-117.14092839999999,93
2629,rubios fresh mexican grill,92108-1159,27,6,3,27,30,Only Drinks,32.768142,-117.1698284,93
2630,bub's dive bar and grill,92109-2833,7,28,25,35,25,Food & Drinks,32.7977174,-117.25116809999999,119
2631,taco bell #20067,92131-3917,27,6,3,27,30,Only Drinks,32.936828600000005,-117.09955990000002,93
2632,mission north park the,92104-2904,27,6,3,27,30,Only Drinks,32.748178499999995,-117.1335473,93
2633,great wall express,92115,7,28,25,35,25,Food & Drinks,32.7643088,-117.06094809999999,119
2634,tofu house,92111-2315,7,28,25,35,25,Food & Drinks,32.8249132,-117.1557172,119
2635,starbucks coffee #5638,92103-3312,27,6,3,27,30,Only Drinks,32.7487536,-117.15241529999999,93
2636,mission coffee cup cafe,92037-4532,27,6,3,27,30,Only Drinks,32.846858600000004,-117.27291310000001,93
2637,alborz restaurant,92014-3100,7,28,25,35,25,Food & Drinks,32.9492635,-117.24591699999999,119
2638,winstons,92107-2805,27,6,3,27,30,Only Drinks,32.7471286,-117.25066090000001,93
2639,burger king #896,92109-3915,27,6,3,27,30,Only Drinks,32.7931229,-117.2540034,93
2640,gaslamp strip club,92101-6910,27,6,3,27,30,Only Drinks,32.708929,-117.1603924,93
2641,intermezzo espresso inc,92108-4529,27,6,3,27,30,Only Drinks,32.771044399999994,-117.1579787,93
2642,sakura i,92111-3747,7,28,25,35,25,Food & Drinks,32.8146899,-117.154474,119
2643,rock bottom brewery,92037-1701,27,6,3,27,30,Only Drinks,32.8712574,-117.2342668,93
2644,rubios fresh mexican grill,92120-2352,27,6,3,27,30,Only Drinks,32.7921646,-117.09833259999999,93
2645,pitchers,92129-2809,27,6,3,27,30,Only Drinks,32.961290999999996,-117.1141364,93
2646,sammy's woodfired pizza,92122-1153,27,6,3,27,30,Only Drinks,32.869018100000005,-117.2150024,93
2647,fifth avenue grill / darband catering,92101-3203,7,28,25,35,25,Food & Drinks,32.7216204,-117.1604213,119
2648,la fuente mexican restaurante,92103-3311,7,28,25,35,25,Food & Drinks,32.7481927,-117.15265600000001,119
2649,mimmos italian village,92101-2517,7,28,25,35,25,Food & Drinks,32.7236413,-117.16811770000001,119
2650,filibertos mexican food,92111-6402,7,28,25,35,25,Food & Drinks,32.7867289,-117.1697866,119
2651,hard rock cafe,92101-6121,27,6,3,27,30,Only Drinks,32.7138011,-117.1608097,93
2652,san diego chicken pie shop,92104-1214,27,6,3,27,30,Only Drinks,32.7549511,-117.13541709999998,93
2653,jamba juice #120,92109-3376,27,6,3,27,30,Only Drinks,32.8017265,-117.23813740000001,93
2654,mailos cafe,92104-2601,7,28,25,35,25,Food & Drinks,32.7520324,-117.12994669999999,119
2655,margaritas restaurant,92107,7,28,25,35,25,Food & Drinks,32.7461739,-117.2503899,119
2656,cotixan taco shop,92117-2005,7,28,25,35,25,Food & Drinks,32.8347976,-117.1894128,119
2657,appetite restaurant & deli,92101-7902,7,28,25,35,25,Food & Drinks,32.718348399999996,-117.16700690000002,119
2658,field the,92101-6926,27,6,3,27,30,Only Drinks,32.711060499999995,-117.16042,93
2659,bistro du marche,92037-5143,27,6,3,27,30,Only Drinks,32.8397461,-117.27190420000001,93
2660,aiberto's,92105-2505,7,28,25,35,25,Food & Drinks,32.74944489999999,-117.1072045,119
2661,sadaf restaurant no 2 inc,92101-6108,7,28,25,35,25,Food & Drinks,32.7140097,-117.1603654,119
2662,robertos taco shop,92121-2311,7,28,25,35,25,Food & Drinks,32.8799798,-117.1621159,119
